Activity_Factor,Static_Power,Dynamic_Power,Short_ckt_Power,Total_Power
0.1,2.8e-09,2.8e-07,2.8e-09,2.856e-07
0.19444444444444445,2.8e-09,5.444444444444444e-07,2.8e-09,5.500444444444444e-07
0.28888888888888886,2.8e-09,8.088888888888888e-07,2.8e-09,8.144888888888888e-07
0.3833333333333333,2.8e-09,1.0733333333333332e-06,2.8e-09,1.0789333333333331e-06
0.47777777777777775,2.8e-09,1.3377777777777777e-06,2.8e-09,1.3433777777777777e-06
0.5722222222222222,2.8e-09,1.602222222222222e-06,2.8e-09,1.607822222222222e-06
0.6666666666666666,2.8e-09,1.8666666666666664e-06,2.8e-09,1.8722666666666664e-06
0.7611111111111111,2.8e-09,2.131111111111111e-06,2.8e-09,2.1367111111111112e-06
0.8555555555555555,2.8e-09,2.395555555555555e-06,2.8e-09,2.4011555555555556e-06
0.95,2.8e-09,2.66e-06,2.8e-09,2.6656000000000004e-06
