Circuit_Type,Bit_Width,Flip_Flops
Counter,8,8
Shift_Register,8,8
Shift_Register,20,20
Counter,15,15
Counter,31,31
Shift_Register,9,9
Counter,7,7
Counter,8,8
Shift_Register,32,32
Counter,26,26
Shift_Register,12,12
Shift_Register,28,28
Shift_Register,12,12
Shift_Register,4,4
Shift_Register,12,12
Shift_Register,17,17
Counter,21,21
Counter,8,8
Shift_Register,17,17
Shift_Register,21,21
Counter,15,15
Shift_Register,28,28
Counter,30,30
Counter,29,29
Shift_Register,28,28
Shift_Register,23,23
Counter,9,9
Shift_Register,1,1
Counter,15,15
Shift_Register,2,2
Counter,24,24
Shift_Register,24,24
Shift_Register,8,8
Counter,30,30
Shift_Register,11,11
Shift_Register,4,4
Counter,28,28
Counter,7,7
Counter,17,17
Counter,3,3
Counter,28,28
Counter,32,32
Counter,14,14
Counter,7,7
Shift_Register,22,22
Counter,17,17
Counter,5,5
Shift_Register,26,26
Counter,29,29
Counter,17,17
Shift_Register,20,20
Counter,29,29
Shift_Register,3,3
Shift_Register,12,12
Shift_Register,17,17
Shift_Register,9,9
Shift_Register,21,21
Counter,28,28
Counter,14,14
Counter,12,12
Counter,13,13
Counter,26,26
Shift_Register,8,8
Counter,4,4
Shift_Register,2,2
Shift_Register,21,21
Counter,5,5
Shift_Register,29,29
Shift_Register,14,14
Shift_Register,9,9
Shift_Register,4,4
Counter,5,5
Counter,31,31
Shift_Register,14,14
Counter,5,5
Shift_Register,14,14
Counter,25,25
Counter,27,27
Counter,25,25
Shift_Register,22,22
Counter,16,16
Shift_Register,2,2
Counter,3,3
Shift_Register,29,29
Counter,31,31
Counter,2,2
Counter,11,11
Shift_Register,12,12
Counter,12,12
Counter,17,17
Counter,2,2
Shift_Register,12,12
Shift_Register,12,12
Shift_Register,4,4
Shift_Register,15,15
Counter,28,28
Shift_Register,27,27
Counter,11,11
Shift_Register,14,14
Shift_Register,11,11
Counter,6,6
Counter,27,27
Counter,10,10
Counter,14,14
Shift_Register,25,25
Shift_Register,8,8
Shift_Register,20,20
Shift_Register,32,32
Counter,27,27
Shift_Register,9,9
